Match Number,Round Number,Date,Location,Home Team,Away Team,Result
3,1,23/03/2025 14:00,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,
9,2,29/03/2025 14:00,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,
12,2,31/03/2025 14:00,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,
16,2,4/4/2025 14:00,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Crick,Lucknow Super Giants,Mumbai Indians,
21,3,7/4/2025 14:00,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,
29,4,13/04/2025 14:00,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,
33,4,17/04/2025 14:00,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,
38,5,20/04/2025 14:00,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,
41,5,23/04/2025 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,
45,6,27/04/2025 10:00,Wankhede Stadium,Mumbai Indians,Lucknow Super Giants,
50,6,1/5/2025 14:00,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,
56,7,6/5/2025 14:00,Wankhede Stadium,Mumbai Indians,Gujarat Titans,
61,7,11/5/2025 10:00,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Mumbai Indians,
66,8,15/05/2025 14:00,Wankhede Stadium,Mumbai Indians,Delhi Capitals,
